num_single_quote_error,num_spacing_error,num_social_media_handles,num_urls_text,num_twitter_post_urls,number_of_hastags,num_of_absence_of_space_after_sentence_completion,num_capitalized_words,num_of_absence_capitalization_after_full_stop,num_of_words_of_pattern_2017word,num_mispelled_words,label
3,29,0,0,0,0,4,29,0,0,20,0
10,8,0,0,0,0,7,1,0,0,12,0
1,4,5,1,0,1,3,4,1,0,12,0
13,16,0,0,0,0,6,1,0,0,13,0
9,12,0,0,0,6,7,2,0,0,24,0
0,1,0,0,0,0,0,3,0,0,4,1
0,2,0,0,0,0,6,8,0,0,24,1
0,1,0,0,0,0,2,3,1,0,5,1
0,0,0,0,0,0,0,1,0,0,1,0
5,16,18,1,0,0,5,4,1,0,26,0
0,3,0,0,0,0,1,3,0,0,3,1
10,15,0,0,0,0,14,22,0,0,20,0
8,22,0,0,0,0,7,8,0,0,14,0
4,12,2,2,0,0,7,1,3,0,11,0
0,3,0,0,0,0,0,4,0,0,3,1
16,13,0,0,0,0,5,0,0,0,11,0
0,5,0,0,0,0,4,5,2,0,10,1
0,5,0,0,0,0,2,4,0,0,4,1
0,1,0,0,0,0,0,1,0,0,1,1
4,8,0,0,0,0,1,13,2,0,7,1
10,14,0,0,0,0,8,2,0,0,5,0
2,5,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,2,0,0,1,1
0,36,0,0,0,0,3,9,0,0,11,0
14,23,0,0,0,0,0,3,0,0,11,1
0,10,0,0,0,0,9,37,11,0,34,1
8,19,0,1,0,0,5,4,2,0,12,0
12,7,6,0,0,1,4,3,0,0,21,0
5,18,0,0,0,0,0,8,1,0,6,1
0,2,0,0,0,0,0,2,1,0,1,1
12,16,0,0,0,0,7,14,0,0,23,0
0,1,0,0,0,0,1,5,0,0,10,1
8,16,3,0,1,0,7,3,3,3,11,0
0,1,0,0,0,0,5,13,5,0,20,1
0,3,0,0,0,0,0,1,0,0,6,1
9,17,21,2,2,4,9,13,7,13,52,0
0,1,0,0,0,0,0,3,1,0,1,1
0,7,0,0,0,0,2,3,0,0,6,0
0,7,0,0,0,0,3,4,2,0,3,0
10,1,0,0,0,0,3,1,0,0,6,0
5,9,0,0,0,0,6,7,0,0,15,0
0,6,0,0,0,0,0,4,2,0,5,1
8,7,0,0,0,0,6,1,0,0,8,0
0,19,0,0,0,0,6,5,2,0,12,1
5,7,0,0,0,0,4,1,0,0,3,0
0,1,0,0,0,0,8,13,0,0,18,1
3,11,0,0,0,0,4,3,1,0,2,0
1,8,0,0,0,0,1,24,0,0,15,0
2,5,0,0,0,0,5,2,2,0,1,0
1,15,0,0,0,0,0,3,0,0,10,1
5,22,14,2,2,6,11,11,10,0,42,0
2,2,0,0,0,0,5,0,1,0,14,0
7,8,2,0,0,0,6,16,2,1,22,0
5,14,0,0,0,0,2,5,0,0,10,0
0,1,0,0,0,0,1,3,0,0,6,1
9,11,0,0,0,0,10,11,0,0,32,0
14,9,0,0,0,2,9,3,0,0,18,0
12,4,0,0,0,0,9,10,0,0,19,0
0,11,0,0,0,0,2,9,3,0,13,1
7,15,3,1,1,4,2,37,3,2,34,0
1,2,0,0,0,0,3,2,0,0,7,0
0,2,0,0,0,0,0,0,0,0,0,0
28,20,0,1,0,0,17,5,1,0,29,0
5,6,1,0,0,0,13,16,0,1,5,0
0,3,0,0,0,0,0,5,2,0,34,1
8,18,2,0,1,1,5,9,4,1,15,0
4,14,0,0,0,0,9,3,2,0,17,0
10,6,0,0,0,0,6,1,0,0,11,0
8,33,0,0,0,0,10,3,0,0,15,0
2,20,0,0,0,0,0,7,1,0,11,1
0,2,0,0,0,0,0,2,0,0,3,1
8,6,0,0,0,0,6,3,0,0,3,0
18,12,0,0,0,0,40,46,1,6,36,0
10,6,0,1,0,0,5,8,2,0,4,0
1,1,0,0,0,0,0,2,1,0,1,1
0,4,0,0,0,0,1,3,0,0,3,1
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,6,1,0,2,1
2,9,0,0,0,0,0,1,0,0,13,1
31,10,0,0,0,0,10,6,0,0,19,0
4,5,0,0,0,0,0,3,0,0,7,1
0,5,0,0,0,0,0,4,2,0,15,1
4,11,0,0,0,0,8,5,0,0,17,0
0,1,0,0,0,0,0,2,1,0,2,1
2,10,0,0,0,0,6,3,2,0,19,0
3,13,0,0,0,0,9,1,1,0,12,0
4,3,0,0,0,0,6,4,0,0,5,0
14,3,0,0,0,0,3,2,0,0,9,0
0,7,0,2,0,0,3,9,4,0,15,0
0,2,0,0,0,0,0,0,0,0,0,0
4,12,4,1,1,2,5,5,3,2,23,0
5,0,0,0,0,0,10,1,0,0,11,0
13,23,0,0,0,0,16,5,0,0,8,0
1,3,2,0,1,0,2,1,3,0,5,0
1,11,1,1,1,0,9,11,6,0,10,0
6,22,0,0,0,0,0,1,0,0,21,1
1,2,0,0,0,0,0,2,0,0,3,1
1,0,1,0,0,0,2,9,0,0,1,0
1,11,0,0,0,0,0,3,1,0,1,1
8,26,2,1,2,1,9,1,7,0,22,0
0,3,0,0,0,0,0,2,0,0,5,1
1,17,0,0,0,0,10,4,5,0,6,0
2,8,0,0,0,0,2,26,0,0,18,0
0,7,0,0,0,0,2,0,1,0,5,1
18,15,0,0,0,0,7,2,1,0,15,0
2,1,0,0,0,0,0,2,1,0,2,1
0,1,0,0,0,0,0,1,0,0,0,0
9,8,0,0,0,0,8,2,1,0,4,0
0,1,0,0,0,0,0,5,2,0,3,1
1,5,0,0,0,0,0,1,0,0,1,0
0,2,0,0,0,0,0,8,3,0,17,1
9,20,0,0,0,0,3,2,0,0,6,0
0,1,0,0,0,0,1,0,0,0,3,1
0,2,0,0,0,0,0,0,0,0,0,0
3,16,0,0,0,0,2,5,1,0,25,1
0,2,0,0,0,0,0,3,0,0,4,1
10,4,1,0,1,0,4,0,2,0,17,0
0,6,0,0,0,0,0,3,0,0,1,1
1,4,0,0,0,0,1,1,0,0,4,1
2,5,0,0,0,0,0,13,8,0,4,1
0,1,0,0,0,0,2,3,1,0,9,1
1,1,1,0,1,0,3,3,2,0,6,0
1,2,0,0,0,0,0,1,0,0,5,1
0,2,0,0,0,0,4,4,0,0,14,1
5,7,0,0,0,0,2,2,0,0,4,0
4,5,2,0,1,0,6,1,3,0,6,0
9,13,0,0,0,0,0,7,0,0,11,1
1,2,0,0,0,0,0,1,0,0,1,0
3,4,0,0,0,0,4,2,2,0,3,0
0,1,0,0,0,0,0,1,0,0,1,1
10,24,0,0,0,0,4,1,0,0,28,0
7,8,0,0,0,0,12,12,8,0,7,0
11,17,0,1,0,0,5,3,1,0,14,0
5,10,0,0,0,0,1,0,0,0,4,0
2,10,0,0,0,0,0,8,2,0,16,1
0,2,0,0,0,0,0,1,0,0,6,1
11,12,0,0,0,0,3,5,0,0,18,0
15,10,0,1,0,0,2,8,2,0,23,0
0,8,1,0,0,0,3,13,0,0,4,0
0,3,0,0,0,0,2,3,1,0,19,1
0,17,0,0,0,0,15,14,7,0,29,1
7,12,0,0,0,0,3,6,1,0,5,0
7,30,23,2,0,4,7,11,4,16,52,0
7,8,0,0,0,0,3,12,0,0,8,0
7,26,1,0,1,1,5,20,2,1,10,0
16,30,0,0,0,0,0,5,0,0,23,1
6,4,0,0,0,0,6,0,0,0,8,0
8,19,10,1,0,0,7,30,1,0,16,0
11,9,0,0,0,0,7,6,1,0,6,0
0,1,0,0,0,0,0,2,1,0,0,1
5,14,0,0,0,0,1,2,2,0,9,1
2,3,0,0,0,0,0,1,0,0,2,0
0,1,0,0,0,0,1,6,2,0,12,1
1,7,0,0,0,0,5,2,0,0,8,0
4,8,0,0,0,0,3,0,0,0,3,0
19,85,0,0,0,0,0,9,1,0,43,1
3,15,0,0,0,0,4,2,0,0,11,0
3,6,0,0,0,0,0,1,0,0,6,1
0,3,0,0,0,0,1,3,1,0,1,1
10,6,0,0,0,0,4,2,0,0,11,0
0,3,0,0,0,0,2,5,1,0,13,1
1,0,0,0,0,0,0,0,0,0,1,0
15,27,0,0,0,0,10,3,1,0,15,0
1,17,0,0,0,0,2,0,0,0,3,0
11,13,0,0,0,0,0,0,0,0,2,0
5,15,0,0,0,0,0,8,2,0,4,1
4,6,2,1,0,1,3,6,1,2,19,0
0,2,0,0,0,0,1,2,0,0,2,1
0,9,1,0,0,1,3,5,2,0,2,1
4,4,1,0,1,1,2,21,2,0,9,0
11,18,1,1,0,1,5,1,1,0,11,0
0,7,0,0,0,0,4,2,1,0,17,1
3,6,0,0,0,0,0,5,0,0,9,1
18,16,0,0,0,0,9,3,1,0,15,0
0,3,0,0,0,0,0,7,1,0,9,1
5,22,0,0,0,0,1,1,0,0,49,1
3,6,7,0,0,1,5,13,3,6,17,0
0,6,0,0,0,0,1,5,4,0,5,1
7,24,0,0,0,0,1,2,2,0,8,1
0,1,0,0,0,0,2,2,0,0,1,1
0,12,0,0,0,0,2,14,1,0,17,1
2,3,0,0,0,0,2,1,0,0,3,0
7,20,0,0,0,0,0,4,0,0,34,1
11,54,0,0,0,0,0,14,8,0,18,1
0,2,0,0,0,0,2,3,0,0,21,1
0,49,0,0,0,0,0,4,0,0,7,1
0,10,0,0,0,0,4,3,0,0,23,0
0,1,0,0,0,0,1,7,3,0,2,1
1,3,0,0,0,0,0,1,0,0,1,1
10,11,0,0,0,0,10,5,1,0,21,0
0,1,0,0,0,0,4,4,0,0,7,1
5,12,0,0,0,0,2,14,0,0,10,0
0,3,0,0,0,0,3,1,0,0,1,0
0,5,0,0,0,0,1,1,1,0,1,1
14,42,0,0,0,0,3,17,14,0,14,1
3,7,0,0,0,0,5,2,1,0,12,0
3,9,0,0,0,0,4,4,0,0,12,0
4,15,0,0,0,0,1,4,3,0,17,1
0,5,0,1,0,0,7,3,2,0,4,0
5,10,0,0,0,0,7,8,0,0,13,0
3,20,0,0,0,0,1,5,1,0,11,1
0,1,1,0,0,0,1,1,0,0,1,1
11,52,1,0,0,0,19,36,5,0,39,0
11,3,0,0,0,0,3,3,0,0,13,0
0,4,0,0,0,0,0,2,1,0,0,1
24,42,0,0,0,0,10,15,9,1,22,0
0,1,0,0,0,0,1,2,0,0,0,1
11,10,0,0,0,0,3,2,1,0,13,0
3,4,0,0,0,0,4,0,0,0,3,0
0,1,0,0,0,0,0,6,2,0,6,1
19,14,0,0,0,0,0,3,0,0,15,0
5,13,0,0,0,0,3,0,0,0,9,0
0,1,0,0,0,0,0,3,0,0,5,1
9,11,0,0,0,0,19,4,3,0,10,0
5,2,0,0,0,0,7,0,0,0,8,0
6,12,0,0,0,0,14,4,3,0,10,0
8,17,2,1,0,1,6,5,1,0,14,0
0,2,0,0,0,0,0,0,0,0,0,0
17,4,0,0,0,0,3,2,0,0,14,0
1,5,0,0,0,0,0,2,0,0,8,1
0,24,0,0,0,0,9,21,1,0,21,1
27,2,0,0,0,0,15,16,9,0,17,0
3,29,0,0,0,0,0,32,1,0,17,1
0,2,0,1,0,0,6,9,3,0,5,0
0,1,0,0,0,0,0,0,0,0,2,0
6,19,2,0,1,0,7,4,2,1,10,0
5,0,0,1,0,0,1,0,2,0,2,0
1,3,0,0,0,0,0,2,1,0,3,1
2,7,0,0,0,0,0,3,1,0,6,1
0,7,0,0,0,0,0,3,0,0,16,1
4,6,0,0,0,0,7,14,11,0,10,0
5,7,0,0,0,0,4,1,0,0,3,0
0,2,0,0,0,0,0,0,0,0,0,0
1,7,0,0,0,0,0,3,0,0,7,1
1,6,0,0,0,0,2,0,1,0,10,0
0,2,0,0,0,0,2,10,8,0,6,1
72,137,0,0,0,0,76,7,1,0,45,0
8,7,0,0,0,0,2,2,0,0,10,0
2,9,0,0,0,0,1,9,3,0,22,1
0,21,0,0,0,0,3,5,2,0,4,1
7,7,0,0,0,0,7,9,0,0,23,0
0,7,0,0,0,0,0,2,0,0,5,1
1,10,0,0,0,1,3,28,0,0,16,0
0,4,0,0,0,0,0,3,1,0,11,1
11,4,0,0,0,0,2,4,0,0,9,0
6,6,0,0,0,0,1,1,0,0,6,0
2,4,0,0,0,0,2,2,1,0,3,0
0,1,0,0,0,0,1,8,2,0,7,1
2,1,0,0,0,0,0,1,0,0,3,1
1,9,0,0,0,0,7,4,0,0,7,0
7,49,27,0,3,4,10,16,7,12,40,0
11,20,0,0,0,0,6,6,0,0,16,0
0,1,0,0,0,0,1,2,0,0,1,1
4,3,0,0,0,0,4,5,0,0,3,0
5,7,0,0,0,0,9,11,0,0,15,0
3,18,0,0,0,0,2,17,4,0,16,1
3,19,0,0,0,0,0,20,14,0,23,1
8,9,1,1,1,0,6,18,3,0,14,0
12,4,0,0,0,0,4,0,2,0,8,0
10,0,0,0,0,0,6,2,0,0,10,0
0,2,0,0,0,0,0,0,0,0,0,0
3,5,0,0,0,0,13,3,0,1,11,1
3,3,0,0,0,1,11,7,10,0,17,0
1,6,0,0,0,0,0,1,0,0,7,1
14,28,0,0,0,0,1,18,8,0,24,1
6,11,0,0,0,0,7,0,0,0,11,0
11,30,0,0,0,0,1,10,0,0,48,1
0,3,0,0,0,0,3,4,0,0,6,1
0,3,3,0,0,5,4,18,3,0,19,1
3,10,1,0,0,0,1,3,1,0,8,0
4,5,0,0,0,0,5,1,0,0,5,0
17,1,0,0,0,0,7,1,0,0,8,0
5,14,0,0,0,0,4,5,0,0,26,0
3,16,0,0,0,0,2,1,0,0,5,0
10,7,0,0,0,0,6,21,3,0,25,0
11,2,0,0,0,0,2,3,0,0,9,0
8,10,0,0,0,0,1,14,1,0,28,1
0,1,0,0,0,0,0,3,0,0,1,1
5,1,0,0,0,0,1,0,0,0,8,0
4,1,0,0,0,0,0,0,0,0,4,0
1,4,0,0,0,0,7,2,0,0,3,0
0,1,0,0,0,0,3,4,0,0,2,1
7,6,0,0,0,0,9,9,0,0,9,0
0,1,0,0,0,0,2,1,0,0,0,1
13,5,1,0,1,0,7,2,3,0,20,0
6,7,0,0,0,0,10,1,0,0,9,0
3,12,1,1,1,1,5,7,3,1,9,0
0,5,0,0,0,0,11,4,0,0,10,1
16,22,1,0,1,1,12,5,3,0,14,0
0,6,0,0,0,0,0,1,0,0,1,1
4,3,0,0,0,1,3,17,0,0,23,0
12,20,0,0,0,0,2,3,0,0,24,0
4,10,0,0,0,0,2,6,0,0,24,1
0,13,0,0,0,0,5,8,0,0,9,1
0,1,0,0,0,0,0,2,0,0,2,1
4,9,0,0,0,0,7,15,2,0,24,0
1,1,0,0,0,0,0,3,0,0,0,1
3,2,0,0,0,0,0,3,0,0,2,1
8,13,0,0,0,0,1,8,0,0,10,0
0,2,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,5,21,7,0,26,1
10,29,0,0,0,0,11,6,0,0,17,0
18,9,3,0,1,0,6,3,3,0,31,0
0,1,1,0,0,0,0,4,1,0,7,1
3,3,0,0,0,0,0,1,0,0,5,0
14,5,3,0,1,0,4,3,2,0,17,0
2,6,0,0,0,0,0,2,0,0,10,1
4,5,2,1,0,1,6,13,6,2,15,0
11,14,0,0,0,0,1,4,1,0,16,1
18,27,0,0,0,0,2,24,2,0,50,1
7,13,0,0,0,2,8,15,10,0,20,0
6,7,0,0,0,0,3,3,0,0,9,0
7,4,0,0,0,0,9,8,1,0,19,0
0,1,0,0,0,0,0,3,1,0,1,1
14,8,5,1,0,0,13,4,2,2,15,0
15,12,0,0,0,0,13,3,0,0,12,0
11,34,26,0,2,0,15,14,5,13,36,0
12,7,2,1,2,0,6,11,6,2,19,0
13,8,0,0,0,0,9,1,0,0,3,0
0,3,0,0,0,0,4,5,0,0,14,1
15,30,0,0,0,0,10,10,2,0,6,0
20,12,1,1,0,0,9,4,2,0,21,0
3,10,0,0,0,0,0,1,0,0,5,1
26,47,0,0,0,0,1,8,0,0,22,0
0,12,0,0,0,0,0,6,0,0,8,1
0,3,0,0,0,0,0,3,0,0,16,1
12,25,0,0,0,0,5,2,1,0,19,0
4,8,0,0,0,0,5,3,0,1,10,0
0,1,0,0,0,0,1,5,2,0,0,1
1,2,0,0,0,0,0,1,0,0,1,0
1,4,5,3,2,2,5,3,9,2,13,0
0,6,0,0,0,0,3,6,3,0,19,1
1,11,0,0,0,0,6,3,1,0,0,0
1,4,0,0,0,0,4,5,1,0,9,0
4,14,2,1,0,0,6,2,1,2,25,0
18,61,0,0,0,0,0,4,0,0,41,1
0,2,0,0,0,0,0,2,0,0,0,1
8,22,0,0,0,0,0,9,4,0,41,1
12,18,1,0,0,0,5,14,0,0,18,0
4,4,0,0,0,0,0,2,0,0,10,0
0,3,0,0,0,0,0,2,0,0,0,1
14,26,2,1,0,2,9,6,1,1,23,0
8,3,0,0,0,0,7,0,0,0,13,0
0,2,0,0,0,0,3,4,1,0,7,1
3,3,0,0,0,0,0,2,0,0,0,1
4,31,0,0,0,0,3,1,0,0,16,0
4,11,2,1,2,8,8,4,7,0,23,0
6,19,0,0,0,0,3,3,1,0,15,0
0,2,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,3,8,2,0,8,1
11,3,1,0,0,1,2,1,0,1,10,0
0,3,0,0,0,0,2,11,5,0,16,1
0,1,0,0,0,0,0,5,0,0,4,1
7,25,5,0,0,0,2,7,0,0,15,0
6,6,0,1,0,0,8,2,2,0,16,0
1,3,0,0,0,0,0,4,1,0,3,1
1,30,2,0,2,1,6,4,5,2,14,0
7,17,0,2,0,2,8,1,3,0,19,0
0,3,1,0,1,0,1,2,2,0,3,0
9,22,37,0,7,1,11,11,15,0,36,0
2,4,0,0,0,0,4,5,1,0,14,0
0,3,0,0,0,0,0,1,0,0,2,1
6,57,0,0,0,0,4,4,2,0,17,0
0,1,0,0,0,0,1,3,1,0,1,1
0,6,2,0,0,0,2,10,3,0,12,1
21,37,0,0,0,0,2,8,0,0,22,1
18,13,3,1,1,0,7,1,4,1,11,0
2,9,0,1,0,0,1,0,2,0,3,0
3,6,0,0,0,0,0,4,0,0,16,1
1,1,0,0,0,0,0,0,0,0,0,0
8,7,2,0,1,1,3,0,3,0,25,0
0,1,0,0,0,0,0,2,0,0,2,1
0,2,0,0,0,0,1,5,3,0,5,1
0,1,0,0,0,0,2,1,0,0,6,1
0,25,1,0,1,2,4,5,3,0,27,0
1,1,0,0,0,0,0,2,0,0,2,1
4,12,0,0,0,0,0,2,0,0,16,1
1,2,0,0,0,0,3,10,2,0,24,1
1,1,0,0,0,0,0,1,0,0,1,1
6,16,0,0,0,0,0,16,2,0,19,1
0,1,0,0,0,0,5,6,5,0,31,1
0,20,0,0,0,0,6,17,5,0,18,1
7,12,0,0,0,0,3,2,0,0,11,0
4,11,0,0,0,0,3,3,0,0,8,0
0,3,0,0,0,0,4,2,0,0,7,1
8,5,4,0,1,1,13,7,3,3,16,0
10,5,0,0,0,0,5,1,0,0,4,0
13,10,0,0,0,0,5,2,0,0,12,0
0,4,0,0,0,0,0,4,0,0,8,0
4,8,0,0,0,0,7,5,0,0,13,0
0,1,0,0,0,0,1,6,1,0,15,1
11,19,0,0,0,0,14,20,1,0,18,0
11,18,0,0,0,0,10,11,5,0,16,0
0,7,0,0,0,0,3,6,1,0,5,1
2,21,0,0,0,0,6,3,0,1,13,0
0,7,4,0,0,9,3,1,0,0,18,1
8,0,0,0,0,0,8,1,0,0,4,0
9,12,0,0,0,0,0,3,0,0,8,1
5,2,0,0,0,0,2,1,0,0,3,0
1,5,0,0,0,0,1,6,1,0,3,1
0,10,0,0,0,0,3,23,1,0,23,1
3,3,1,1,0,0,2,4,1,0,7,0
4,8,0,0,0,0,2,10,0,0,3,0
14,48,0,0,0,0,1,15,4,1,42,1
0,9,0,0,0,0,2,9,5,0,11,1
3,9,0,0,0,0,4,1,0,0,10,0
0,2,0,0,0,0,0,2,0,0,2,1
0,95,0,0,0,0,10,20,8,0,18,1
11,4,1,2,0,1,5,5,2,0,15,0
9,14,0,0,0,0,5,1,0,0,8,0
2,16,0,0,0,0,0,4,0,0,1,0
19,19,0,0,0,0,4,1,0,0,17,0
3,11,0,0,0,0,0,12,0,0,16,1
0,31,0,0,0,0,6,5,0,0,18,1
0,6,0,0,0,0,16,11,3,0,17,1
12,39,0,0,0,0,0,3,0,0,11,1
7,4,0,0,0,0,10,3,5,0,26,0
12,19,0,0,0,0,2,2,0,0,14,1
0,12,0,0,0,0,5,60,16,1,70,1
1,2,0,0,0,0,0,2,1,0,2,1
1,8,0,0,0,0,0,2,0,0,2,1
0,2,0,0,0,0,0,4,1,0,2,1
3,7,0,0,0,0,1,2,0,0,16,1
1,1,2,1,0,1,1,1,1,0,5,0
6,5,3,1,2,0,7,22,6,2,11,0
1,8,1,1,0,0,1,0,1,0,5,0
4,2,0,0,0,0,4,7,1,0,13,0
0,8,1,0,0,0,4,12,1,0,6,0
5,23,0,0,0,0,0,29,5,0,25,1
2,10,0,0,0,1,3,8,2,0,6,0
7,4,0,0,0,0,6,2,0,0,15,0
0,9,0,0,0,0,8,3,2,0,10,1
2,5,0,0,0,0,0,1,0,0,8,0
11,5,0,0,0,0,1,0,1,0,6,0
1,2,0,0,0,0,3,11,2,0,9,0
8,17,0,0,0,0,1,6,1,0,11,1
9,5,0,0,0,0,2,0,0,0,7,0
0,11,0,0,0,0,3,4,0,0,7,0
0,10,0,0,0,0,0,4,0,0,6,1
9,16,0,0,0,0,1,8,3,0,16,1
11,5,0,0,0,0,4,2,0,0,19,0
19,11,0,0,0,0,2,5,0,0,26,0
0,36,0,0,0,0,3,4,3,0,16,1
4,7,0,0,0,0,0,7,2,0,1,1
5,4,0,0,0,0,3,4,0,0,10,0
0,2,0,0,0,0,5,13,7,0,12,1
3,3,2,0,0,1,2,0,0,0,6,0
6,3,0,0,0,0,9,11,0,0,15,0
10,45,0,0,0,0,0,28,16,1,29,1
12,23,1,1,0,0,5,6,1,0,15,0
12,16,0,0,0,0,3,1,0,0,5,0
1,16,15,0,1,0,4,1,3,0,28,0
0,2,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
6,3,0,0,0,0,12,17,0,0,16,0
3,0,0,0,0,0,0,0,0,0,1,0
11,13,0,0,0,0,4,3,2,0,3,0
6,22,1,1,0,1,7,9,1,1,12,0
3,16,0,0,0,0,1,4,0,0,4,0
0,1,0,0,0,0,0,3,1,0,0,1
7,4,0,0,0,0,0,0,0,0,11,1
14,49,0,0,0,2,12,20,2,0,51,0
12,5,1,0,0,4,2,3,0,0,19,0
0,6,0,0,0,0,1,5,2,0,5,1
0,10,0,0,0,0,2,5,5,1,9,1
5,9,0,0,0,0,0,6,1,0,10,1
2,1,0,0,0,0,0,1,0,0,3,1
1,1,0,0,0,0,0,2,0,0,4,1
0,2,0,0,0,0,0,1,0,0,1,1
1,4,0,0,0,0,1,1,0,0,6,1
0,2,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,1,0,0,4,1
0,1,0,0,0,0,1,7,4,0,4,1
20,21,0,0,0,0,2,21,1,0,22,1
0,12,0,0,0,0,1,3,1,0,9,1
7,9,0,0,0,0,3,1,0,0,8,0
0,4,0,0,0,0,0,7,1,0,10,1
0,7,0,0,0,0,1,2,0,0,4,1
0,2,0,0,0,0,0,2,0,0,0,1
0,1,0,0,0,0,0,2,0,0,3,1
0,1,0,0,0,0,5,3,2,0,3,1
2,6,0,0,0,0,0,2,0,0,4,1
2,3,0,0,0,0,3,1,0,0,10,0
3,12,0,0,0,0,4,0,0,0,3,0
0,3,0,0,0,0,2,8,0,0,7,1
18,19,0,0,0,0,7,3,0,0,16,0
7,6,0,0,0,0,14,1,1,0,9,0
4,8,4,0,1,3,4,7,3,0,18,0
9,9,0,1,0,0,7,1,2,0,10,0
0,6,0,0,0,0,3,10,1,0,15,1
0,9,0,0,0,1,5,4,7,0,16,1
1,0,0,0,0,0,0,2,0,0,4,0
1,2,0,0,0,0,0,2,0,0,4,1
1,0,0,1,0,0,1,0,2,0,2,0
0,2,0,0,0,0,1,1,0,0,10,1
0,5,0,0,0,0,2,3,1,0,6,1
6,10,13,1,6,5,11,12,15,7,32,0
8,17,24,0,0,0,9,6,0,0,25,0
9,11,1,0,1,0,2,1,3,0,7,0
0,1,0,0,0,0,0,2,1,0,2,1
5,9,0,0,0,0,5,0,0,0,8,0
0,15,0,0,0,0,6,8,0,0,19,1
0,1,0,0,0,0,0,4,1,0,3,1
8,4,0,0,0,0,7,4,1,0,12,0
0,6,0,0,0,0,8,10,1,0,19,1
0,3,0,0,0,0,4,6,3,0,6,1
0,3,0,0,0,0,1,9,1,0,4,1
2,6,0,0,0,0,0,1,0,0,2,1
4,11,0,0,0,0,6,3,0,0,9,0
